id,title,make,model,year,body_type,color,fuel,transmission,engine_cc,mileage_km,price,price_currency,price_note,city,image,detail_url,scraped_at
11513434,Suzuki Mehran 2008 for sale in Lahore,Suzuki,Mehran,2008,Hatchback,Navy Blue,Petrol,Manual,800,50000,900000,Pkr,converted_from_lacs,Lahore,https://cache1.pakwheels.com/ad_pictures/1440/suzuki-mehran-vxr-2-2008-144037787.jpg,https://www.pakwheels.com/used-cars/suzuki-mehran-2008-for-sale-in-lahore-11512482,2026-05-21 16:47:57
11513431,Honda Civic 2005 for sale in Attock,Honda,Civic,2005,Sedan,Crystal Black,Petrol,Automatic,1600,280000,1850000,Pkr,converted_from_lacs,Attock,https://cache2.pakwheels.com/ad_pictures/1405/honda-civic-vti-oriel-prosmatec-2005-140511056.jpg,https://www.pakwheels.com/used-cars/honda-civic-2005-for-sale-in-attock-11288120,2026-05-21 16:47:57
11512610,Toyota Corolla 2017 for sale in Sargodha,Toyota,Corolla,2017,Sedan,Silver,Petrol,Automatic,1600,141000,4675000,Pkr,converted_from_lacs,Sargodha,https://cache1.pakwheels.com/ad_pictures/1438/toyota-corolla-altis-1-8-cvti-2017-143897226.jpg,https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-sargodha-11503327,2026-05-21 16:47:57
11350152,Honda Civic 2021 for sale in Faisalabad,Honda,Civic,2021,Sedan,White,Petrol,Automatic,1800,66000,6480000,Pkr,converted_from_lacs,Faisalabad,https://cache2.pakwheels.com/ad_pictures/1432/honda-civic-oriel-1-8-i-vtec-cvt-2021-143292599.jpg,https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-faisalabad-11465193,2026-05-21 16:47:57
11513429,Toyota Vitz 2020 for sale in Sahiwal,Toyota,Vitz,2020,Hatchback,Gun Matelic,Petrol,Automatic,996,95000,3700000,Pkr,converted_from_lacs,Sahiwal,https://cache2.pakwheels.com/ad_pictures/1439/toyota-vitz-1-0-f-2020-143957693.jpg,https://www.pakwheels.com/used-cars/toyota-vitz-2020-for-sale-in-sahiwal-11406222,2026-05-21 16:47:57
11368761,Suzuki Alto 2023 for sale in Rahim Yar Khan,Suzuki,Alto,2023,Hatchback,Solid White,Petrol,Manual,660,31000,2735000,Pkr,converted_from_lacs,Rahim Yar Khan,https://cache4.pakwheels.com/ad_pictures/1438/suzuki-alto-vxr-2-2024-143809222.jpg,https://www.pakwheels.com/used-cars/suzuki-alto-2023-for-sale-in-rahim-yar-khan-11497718,2026-05-21 16:47:57
11513426,Suzuki Cultus 2020 for sale in Bahawalpur,Suzuki,Cultus,2020,Hatchback,Grey,Petrol,Manual,1000,85000,1450000,Pkr,converted_from_lacs,Bahawalpur,https://cache4.pakwheels.com/ad_pictures/1423/suzuki-cultus-vxr-2020-142320657.jpg,https://www.pakwheels.com/used-cars/suzuki-cultus-2020-for-sale-in-bahawalpur-11402758,2026-05-21 16:47:57
11513422,Honda City 2014 for sale in Rawalpindi,Honda,City,2014,Sedan,Taffeta White,Petrol,Automatic,1300,175000,3055000,Pkr,converted_from_lacs,Rawalpindi,https://cache1.pakwheels.com/ad_pictures/1439/honda-city-aspire-1-3-i-vtec-prosmatec-2014-143999979.jpg,https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-rawalpindi-11510067,2026-05-21 16:47:58
11513418,Toyota Vitz 2003 for sale in Bahawalpur,Toyota,Vitz,2003,Hatchback,Grey,Petrol,Automatic,1000,296800,2050000,Pkr,converted_from_lacs,Bahawalpur,https://cache2.pakwheels.com/ad_pictures/1432/toyota-vitz-1-0-fl-2003-143206424.jpg,https://www.pakwheels.com/used-cars/toyota-vitz-2003-for-sale-in-bahawalpur-11459935,2026-05-21 16:47:58
11513299,Toyota Passo 2021 for sale in Abbottabad,Toyota,Passo,2021,Hatchback,Bright Silver Metallic,Petrol,Automatic,1000,46500,4350000,Pkr,converted_from_lacs,Abbottabad,https://cache3.pakwheels.com/ad_pictures/1421/toyota-passo-x-l-package-s-2021-142145985.jpg,https://www.pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-abbottabad-11390834,2026-05-21 16:47:58
11513419,Toyota Corolla 2023 for sale in Lahore,Toyota,Corolla,2023,Sedan,Super White,Petrol,Automatic,1800,80000,7200000,Pkr,converted_from_lacs,Lahore,https://cache4.pakwheels.com/ad_pictures/1440/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2023-144039859.jpg,https://www.pakwheels.com/used-cars/toyota-corolla-2023-for-sale-in-lahore-11512615,2026-05-21 16:47:58
11423337,Toyota Land Cruiser 2016 for sale in Lahore,Toyota,Land Cruiser,2016,Suv,White Pearl Mica,Petrol,Automatic,4600,76056,35000000,Pkr,converted_from_lacs,Lahore,https://cache1.pakwheels.com/ad_pictures/1417/toyota-land-cruiser-zx-2-2016-141718787.jpg,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2016-for-sale-in-lahore-11362504,2026-05-21 16:47:58
11513417,Honda City 2025 for sale in Karachi,Honda,City,2025,Sedan,Lunar Silver Metallic,Petrol,Automatic,1200,36000,4650000,Pkr,converted_from_lacs,Karachi,https://cache2.pakwheels.com/ad_pictures/1440/honda-city-1-2l-cvt-2025-144053597.jpg,https://www.pakwheels.com/used-cars/honda-city-2025-for-sale-in-karachi-11513486,2026-05-21 16:47:58
11513415,Suzuki Wagon R 2021 for sale in Rawalpindi,Suzuki,Wagon R,2021,Hatchback,Solid White,Petrol,Manual,1000,180000,2740000,Pkr,converted_from_lacs,Rawalpindi,https://cache3.pakwheels.com/ad_pictures/1439/suzuki-wagon-r-vxr-2021-143989014.jpg,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2021-for-sale-in-rawalpindi-11509299,2026-05-21 16:47:58
11513413,Lexus LX Series 2008 for sale in Swatmingora,Lexus,Lx Series,2008,Suv,Red,Petrol,Automatic,5700,4500,1950000,Pkr,converted_from_lacs,Swatmingora,https://cache4.pakwheels.com/ad_pictures/1440/Slide_lexus-lx-series-lx570-2008-144052027.webp,https://www.pakwheels.com/used-cars/lexus-lx-series-2008-for-sale-in-swatmingora-11513413,2026-05-21 16:47:58
11511155,KIA Picanto 2020 for sale in Lahore,Kia,Picanto,2020,Hatchback,Clear White,Petrol,Automatic,1000,189000,2700000,Pkr,converted_from_lacs,Lahore,https://cache2.pakwheels.com/ad_pictures/1440/kia-picanto-1-0-at-2020-144046001.jpg,https://www.pakwheels.com/used-cars/kia-picanto-2020-for-sale-in-lahore-11513013,2026-05-21 16:47:58
11513404,Toyota Raize 2020 for sale in Islamabad,Toyota,Raize,2020,Crossover,Fire Quartz Red Metallic,Petrol,Automatic,1000,78000,5540000,Pkr,converted_from_lacs,Islamabad,https://cache3.pakwheels.com/ad_pictures/1435/toyota-raize-g-65-2020-143598914.jpg,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-islamabad-11481820,2026-05-21 16:47:58
11513412,Haval H6 2026 for sale in Okara,Haval,H6,2026,Suv,Ivory White,Petrol,Automatic,1500,1000,9450000,Pkr,converted_from_lacs,Okara,https://cache1.pakwheels.com/ad_pictures/1433/haval-h6-1-5t-2026-143300779.jpg,https://www.pakwheels.com/used-cars/haval-h6-2026-for-sale-in-okara-11465228,2026-05-21 16:47:58
11513286,Toyota Fortuner 2020 for sale in Islamabad,Toyota,Fortuner,2020,Suv,White,Diesel,Automatic,2800,137000,13500000,Pkr,converted_from_lacs,Islamabad,https://cache4.pakwheels.com/ad_pictures/1440/toyota-fortuner-2-8-sigma-2020-144030603.jpg,https://www.pakwheels.com/used-cars/toyota-fortuner-2020-for-sale-in-islamabad-11512044,2026-05-21 16:48:15
11470596,Mitsubishi Ek Wagon 2010 for sale in Islamabad,Mitsubishi,Ek Wagon,2010,Hatchback,Black,Petrol,Automatic,660,120000,1950000,Pkr,converted_from_lacs,Islamabad,https://cache4.pakwheels.com/ad_pictures/1435/mitsubishi-ek-wagon-g-3-2010-143526067.jpg,https://www.pakwheels.com/used-cars/mitsubishi-ek-wagon-2010-for-sale-in-islamabad-11479746,2026-05-21 16:48:15
11494100,Changan Karvaan 2022 for sale in Karachi,Changan,Karvaan,2022,Mini Van,Silver,Petrol,Manual,1000,46300,2380000,Pkr,converted_from_lacs,Karachi,https://cache3.pakwheels.com/ad_pictures/1440/changan-karvaan-plus-5-2022-144036765.jpg,https://www.pakwheels.com/used-cars/changan-karvaan-2022-for-sale-in-karachi-11512445,2026-05-21 16:48:15
11470625,Honda City 2022 for sale in Islamabad,Honda,City,2022,Compact Sedan,White,Petrol,Automatic,1500,49900,4950000,Pkr,converted_from_lacs,Islamabad,https://cache2.pakwheels.com/ad_pictures/1439/honda-city-1-5l-aspire-cvt-2022-143985214.jpg,https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-islamabad-11419554,2026-05-21 16:48:15
11427166,Toyota Corolla 2010 for sale in Islamabad,Toyota,Corolla,2010,Sedan,Bluish Silver Metallic,Petrol,Manual,1800,156000,2900000,Pkr,converted_from_lacs,Islamabad,https://cache2.pakwheels.com/ad_pictures/1433/toyota-corolla-altis-1-8-2010-143309403.jpg,https://www.pakwheels.com/used-cars/toyota-corolla-2010-for-sale-in-islamabad-11466250,2026-05-21 16:48:15
11430301,Toyota Prius 2014 for sale in Karachi,Toyota,Prius,2014,Sedan,Super White,Hybrid,Automatic,1800,88500,4950000,Pkr,converted_from_lacs,Karachi,https://cache4.pakwheels.com/ad_pictures/1436/toyota-prius-1-8g-touring-selection-2014-143676630.jpg,https://www.pakwheels.com/used-cars/toyota-prius-2014-for-sale-in-karachi-11487158,2026-05-21 16:48:15
11513269,Toyota Prado 2015 for sale in Islamabad,Toyota,Prado,2015,Suv,Black,Petrol,Automatic,4000,120000,22840000,Pkr,direct,Islamabad,https://cache4.pakwheels.com/ad_pictures/1385/toyota-prado-tz-g-selection-2015-138536305.jpg,https://www.pakwheels.com/used-cars/toyota-prado-2015-for-sale-in-islamabad-11156942,2026-05-21 16:48:15
11513268,Mercedes Benz S Class 2016 for sale in Islamabad,Mercedes Benz,S Class,2016,Sedan,Firn White,Hybrid,Automatic,3500,60000,34000000,Pkr,converted_from_lacs,Islamabad,https://cache4.pakwheels.com/ad_pictures/1426/mercedes-benz-s-class-s400l-hybrid-2016-142691891.jpg,https://www.pakwheels.com/used-cars/mercedes-benz-s-class-2016-for-sale-in-islamabad-11427377,2026-05-21 16:48:15
11513261,Daihatsu Mira 2015 for sale in Karachi,Daihatsu,Mira,2015,Hatchback,Yellow,Petrol,Automatic,660,130000,2650000,Pkr,converted_from_lacs,Karachi,https://cache4.pakwheels.com/ad_pictures/1440/daihatsu-mira-x-limited-smart-drive-package-2015-144012029.jpg,https://www.pakwheels.com/used-cars/daihatsu-mira-2015-for-sale-in-karachi-11510876,2026-05-21 16:48:15
11478307,Honda Civic 2018 for sale in Lahore,Honda,Civic,2018,Sedan,Black,Petrol,Automatic,1800,59000,5500000,Pkr,converted_from_lacs,Lahore,https://cache1.pakwheels.com/ad_pictures/1440/honda-civic-oriel-1-8-i-vtec-cvt-2018-144051114.jpg,https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-11513339,2026-05-21 16:48:15
